Date,Open,High,Low,Close
1/1/23,9.961036,10.052801,9.721011,9.982173
2/1/23,9.983222,11.372013,9.845211,11.272967
3/1/23,11.274727,13.500268,11.053267,13.344046
4/1/23,13.351509,14.09534,12.922946,13.435113
5/1/23,13.434939,13.7692,12.990192,13.41933
6/1/23,13.420552,13.541294,12.771324,13.525842
7/1/23,13.526757,13.526757,13.055073,13.092268
8/1/23,13.091505,14.333257,12.924286,14.319933
9/1/23,14.325533,17.361557,14.325533,16.302464
